unit_id,average_baseline_price,number_of_bookings,property_id,bedroom,bathroom,beds,capacity,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,property_type,property_design,lat,lng,area_id,area_name
UN1592,540334.5224472516,33,PR0170,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,4,0,,,A0008,Bingin
UN1722,441909.80374537024,126,PR0314,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,4,1,-8.835812,115.118645,A0002,Uluwatu
UN1724,501263.3054574608,138,PR0314,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,4,1,-8.835812,115.118645,A0002,Uluwatu
UN1729,489224.12274399033,117,PR0314,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,4,1,-8.835812,115.118645,A0002,Uluwatu
UN1730,539980.2325907042,115,PR0314,1,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,4,1,-8.835812,115.118645,A0002,Uluwatu
UN1732,1871222.6365151515,11,PR0316,5,3,5,5,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,,,A0001,Yogyakarta
UN1827,940978.160625,8,PR0340,1,1,1,2,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,4,1,,,A0039,Tamantirto
UN1828,1020461.805,6,PR0340,1,1,1,2,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,4,1,,,A0039,Tamantirto
UN1862,250967.24583333332,27,PR0345,1,1,1,2,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,4,1,-8.6788807,115.4900163,A0020,Nusa Penida
UN1863,247819.61636363636,11,PR0345,1,1,1,2,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,4,1,-8.6788807,115.4900163,A0020,Nusa Penida
UN1864,367839.14005588816,167,PR0345,1,1,1,2,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,4,1,-8.6788807,115.4900163,A0020,Nusa Penida
